IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,105962421,14999.992,3499.998,10661.385,-2.1221318,0.26743877,-2.733962,0.00085258484,-0.034309387,56.58743,0.007933499,0.002314907,0.047476143,-2.5394783,-0.043695558,-0.0018316997,0.36803672,0.44535822,0.4182777,0.46929625,0.0013088282,0.0012437807,0.0063841064,0.006497877,170.04547,170.03226,173.1774,173.16846,0,0,0,0,0,0,0,0,0,0,0,0,-0.002886087,-0.0010862097,0.018652702,-0.020750346,0.003168995,0.0016513153,0.01971497,0.021743948,0.0050926656,0.0105871335,0.0076384544,0.011353672,29,8,231,1,6,-350.11786,1.1607174,283.5983,56.587437,20388.74,18.259304,127.55176,128.03317,191.58894,191.58894,10.948104,1,16.808037,0,0,0.2974391,36.714622,0,1,50,0,0,0,5,0,174,0
True,105982718,14999.992,3499.998,10530.732,-0.1516254,3.939925,-4.28901,-0.0019454956,0.027734995,56.02723,-0.051847145,-0.0009081103,-0.0014404207,-2.5394187,-0.050641254,0.0014512936,0.5496106,0.54746854,0.4872783,0.50447345,0.002128929,0.0021192587,-0.0088936305,-0.008889665,168.41278,168.41708,171.08484,171.09023,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019618212,0.0030009015,0.021182956,-0.020623142,0.0028950097,0.0036737812,0.022974208,0.022457518,0.017995313,0.017843097,0.012663141,0.013915308,29,8,231,1,6,-354.36716,1.5043025,277.41483,56.027233,-67141.71,-60.869556,127.63397,128.11365,191.3641,191.3641,-5.936,1,24.25987,0,0,0.4307899,36.847973,0,1,0,0,0,0,5,0,180,0
True,105982828,14999.992,3499.998,10505.041,-0.08327532,-1.0727226,-3.6704316,-0.00041770935,-0.05290234,55.622223,-0.011708598,-2.7091883E-06,-0.009476445,-2.5394907,-0.05006072,0.0012305158,0.49826768,0.41422808,0.4192152,0.43609524,0.0008261803,0.00092845375,0.013181151,0.012959183,167.1352,167.13905,170.43312,170.42252,0,0,0,0,0,0,0,0,0,0,0,0,-0.00045533633,0.0007489134,0.019978672,-0.019519398,0.00094334775,0.0011928527,0.023935122,0.023429625,0.014346883,0.008375026,0.007706724,0.008935943,29,8,231,1,6,-357.73373,1.809863,272.51636,55.62225,51049.53,46.385426,127.69087,128.17033,191.18466,191.18466,0.48370075,1,30.187546,0,0,0.537457,36.95464,0,1,218,0,0,0,5,0,181,0
True,105982937,14999.992,3499.998,10565.693,-5.7388973,3.8094172,-0.23267293,-0.03327942,-0.024291754,55.627464,-0.063534506,-0.22932602,-0.09312778,-2.5501423,-0.057508823,-0.0053437985,0.46920478,0.52061415,0.56194973,0.5754736,0.0002742823,-0.0017765543,0.054172263,0.043514032,166.5782,167.64343,170.97452,171.78708,0,0,0,0,0,0,0,0,0,0,0,0,-0.16459017,-0.16823314,-0.027282769,-0.06783534,0.16459039,0.16824251,0.060654625,0.08059221,0.012281671,0.015934825,0.018100783,0.019085601,29,8,231,1,6,-361.0677,2.119043,267.62302,55.627476,281878.97,254.7006,127.76387,128.24333,191.01428,191.01428,5.886321,1,36.042606,0,0,0.64412427,37.061306,0,1,255,0,0,0,5,-65,183,0
True,105983046,14999.992,3499.998,10697.516,-15.221707,3.9150503,3.1514926,0.3251667,-0.071311474,55.985134,-0.0692549,-0.42893708,-0.051040106,-2.5879524,-0.0664587,-0.0107511375,0.43672472,0.6085331,0.43897393,0.6141715,-0.0028765919,-0.0025961848,0.10907534,0.07912872,167.01006,169.12376,173.10179,174.25533,0,0,0,0,0,0,0,0,0,0,0,0,-0.27254146,-0.27925,-0.12817696,-0.1772025,0.27255663,0.27926207,0.16830556,0.19406721,0.009973638,0.022182345,0.009145573,0.02190362,29,8,231,1,6,-364.3035,2.4840567,262.64117,55.98612,405916.6,362.49155,127.84914,128.3442,190.85764,190.85764,13.73511,1,41.924633,0,0,0.7507913,37.167973,0,1,255,0,0,0,5,-83,186,0
True,105983140,14999.992,3499.998,10847.184,-15.657779,2.8247707,5.3592577,0.60365486,-0.104782104,56.522213,-0.074907385,-0.086303085,0.0326446,-2.6247241,-0.07236691,-0.009702182,0.3119979,0.55272317,0.39254424,0.6399153,-0.005218216,-0.00071014644,0.13328186,0.113842204,169.51367,170.04854,176.22232,175.95511,0,0,0,0,0,0,0,0,0,0,0,0,-0.02805294,-0.026723262,-0.0951293,-0.13913354,0.02853414,0.026732696,0.1637487,0.1797726,0.0011105463,0.01821649,0.0057645217,0.023778304,29,8,231,1,6,-367.38867,2.8906868,257.51288,56.525528,504987.16,444.59186,127.92679,128.43742,190.71565,190.71565,24.454472,1,47.862816,0,0,0.8574589,37.27464,0,1,255,0,0,0,5,1,189,0
True,105983265,14999.992,3499.998,10980.098,-4.720371,4.5331306,7.5716405,-0.0061626434,-0.19176221,57.440376,-0.11756057,0.010523499,0.054731183,-2.62385,-0.08313476,-0.00320681,0.45718047,0.49059838,0.4967105,0.5912976,-0.002999336,-0.0034009533,0.10167671,0.10140309,172.58716,172.52222,178.32916,178.24226,0,0,0,0,0,0,0,0,0,0,0,0,-0.005101435,-0.0027870242,0.02195705,-0.0175079,0.0059178253,0.004397043,0.104020506,0.10290341,0.011427224,0.0138019025,0.0133500025,0.020237923,29,8,231,1,6,-370.7762,3.3999624,251.59616,57.440697,643337.2,559.73694,128.00229,128.51662,190.55734,190.55734,39.42156,1,54.64088,0,0,0.9774594,37.39464,0,1,255,0,0,0,5,0,193,0
True,105983375,14999.992,3499.998,11303.124,-1.319216,3.3794131,9.253114,-0.023332596,-0.18057942,58.453655,-0.032351527,-0.03387612,-0.010494449,-2.6242628,-0.089737415,-0.0012174621,0.38911307,0.3794684,0.52745754,0.5422918,-0.004038122,-0.004480425,0.17144512,0.16953003,175.43608,175.58873,183.39111,183.48317,0,0,0,0,0,0,0,0,0,0,0,0,-0.038036026,-0.036027923,0.015322333,-0.022715967,0.03824978,0.036305446,0.17212844,0.17104517,0.0065903515,0.0059050024,0.015589029,0.016669273,29,8,231,1,6,-373.82407,3.9194016,246.24379,58.453938,775562.5,655.6775,128.06828,128.58029,190.42824,190.42824,53.607883,1,60.773106,0,0,1.0841264,37.50131,0,1,255,0,0,0,5,-16,195,0
True,105983484,14999.992,3499.998,11490.18,-6.6353736,4.390136,10.774042,0.08824921,-0.19432211,59.626007,-0.101385176,-0.22956549,-0.02913884,-2.6389403,-0.0970247,-0.002472094,0.477608,0.5534431,0.5406482,0.60764515,-0.004205853,-0.004268859,0.173651,0.14242934,178.50522,179.62746,186.53331,186.64091,0,0,0,0,0,0,0,0,0,0,0,0,-0.107161015,-0.10559233,-0.045053348,-0.08639234,0.10724352,0.10567859,0.17940031,0.16658257,0.012878805,0.018267646,0.016549587,0.021428362,29,8,231,1,6,-376.8959,4.480961,240.77324,59.626385,814968.25,677.6588,128.14468,128.66167,190.30777,190.30777,57.785633,1,67.02396,0,0,1.1907936,37.607975,0,1,255,0,0,0,5,-36,194,0
True,105983593,14999.992,3499.998,11740.116,-10.349028,2.2927942,10.7442465,0.34212685,-0.17927504,60.76085,0.08370036,-0.19475761,-0.018750433,-2.6632643,-0.10172155,-0.0034456807,0.2030664,0.33863974,0.5400311,0.6555994,-0.007966337,-0.0052807354,0.19102407,0.16260041,181.72955,182.77388,190.99532,190.93805,0,0,0,0,0,0,0,0,0,0,0,0,-0.13737637,-0.13440001,-0.069985576,-0.109482765,0.13760716,0.1345037,0.20344085,0.19602391,-0.00663013,0.0030037165,0.016504645,0.024920434,29,8,231,1,6,-379.9242,5.1081305,235.14342,60.762074,821195.2,668.7392,128.22194,128.74646,190.19551,190.19551,58.601826,1,73.39442,0,0,1.2974609,37.71464,0,1,255,0,0,0,5,-36,193,0
