IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,106485437,14999.992,3499.998,11913.052,0.058564663,-0.20598093,11.126818,0.008834839,-0.1048654,37.35121,0.04081886,0.0019433699,0.010311051,-2.3375912,0.010369975,-0.026430963,0.2868384,0.30958408,0.47186506,0.4781724,-0.0076092225,-0.0076185972,0.291842,0.28617635,112.047905,112.03809,119.74172,119.60929,0,0,0,0,0,0,0,0,0,0,0,0,-0.0038843052,-0.0015881468,0.017014112,-0.020447288,0.008543307,0.007782367,0.29233754,0.2869059,-0.0006772876,0.000939019,0.011540733,0.012000039,29,8,231,1,6,555.8284,589.0883,647.5702,37.35136,409232.88,328.4001,119.5645,119.5722,164.61877,164.61877,58.679447,1,9.918323,0,0,0.26959798,18.373116,0,1,138,0,0,0,2,0,64,0
True,106491734,14999.992,3499.998,11428.701,0.096410275,-0.018915297,4.288706,0.009227753,-0.06507054,37.943844,-0.009122967,0.0018199327,-0.008892205,-2.3374324,0.01256454,-0.026337773,0.39704007,0.38350624,0.42380878,0.43808043,0.0015077165,0.001534469,-0.023282526,-0.022852782,114.03956,114.031364,115.49803,115.50012,0,0,0,0,0,0,0,0,0,0,0,0,-0.0022232104,-0.0019323907,0.018478407,-0.020016951,0.002686238,0.002467535,0.029724192,0.03037973,0.007153645,0.0061919317,0.008041233,0.009080507,29,8,231,1,6,552.5611,589.02234,644.42346,37.9439,-66580.805,-55.657936,119.60315,119.61026,164.12175,164.12175,45.363495,1,14.577076,0,0,0.38959846,18.493116,0,1,0,0,0,0,2,0,64,0
True,106491828,14999.992,3499.998,11463.214,0.103076994,1.1306583,-1.7266102,0.0107860565,0.01780647,37.616135,6.962981E-05,0.001231834,0.0015446537,-2.337241,0.011003343,-0.026937626,0.41238117,0.42447698,0.434475,0.4299823,0.0016110037,0.0014643375,-0.008771152,-0.009090028,113.04534,113.03654,114.85536,114.8437,0,0,0,0,0,0,0,0,0,0,0,0,-0.004083428,-0.0014942855,0.017859919,-0.021415893,0.0043897284,0.0020921696,0.019897483,0.02326519,0.008243784,0.009103313,0.008817956,0.008490793,29,8,231,1,6,549.7073,588.9749,641.6767,37.61614,-25205.465,-20.991901,119.63842,119.6458,163.67949,163.67949,20.390293,1,18.644999,0,0,0.49449757,18.598015,0,1,23,0,0,0,2,0,64,0
True,106491937,14999.992,3499.998,11540.586,0.08678949,-0.765362,-0.03689856,0.0074424744,-0.014624834,37.612762,0.018560782,0.0020091315,0.013227949,-2.3371172,0.012912882,-0.02590633,0.3486695,0.377855,0.4086552,0.4127101,-0.0009696459,-0.00095270993,0.040532883,0.04017323,112.9755,112.966125,115.77325,115.754875,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033947872,-0.0018833398,0.017881144,-0.020987255,0.0035305514,0.0021105984,0.044301804,0.045324974,0.0037164316,0.005790353,0.006937735,0.007233016,29,8,231,1,6,546.8184,588.9283,638.89734,37.612766,87909.555,72.731415,119.671196,119.67909,163.23807,163.23807,40.003372,1,22.76206,0,0,0.60116506,18.704683,0,1,57,0,0,0,2,0,64,0
True,106492062,14999.992,3499.998,11665.269,0.07789278,-0.26398867,2.522558,0.006887436,-0.04561743,37.940094,-0.013470104,0.0014313926,0.0034254063,-2.3369007,0.012971737,-0.024761364,0.3829022,0.39225665,0.4285098,0.43659616,-0.002027818,-0.002011833,0.05920276,0.059445083,113.95833,113.95166,117.12671,117.123886,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025839473,-0.0013726454,0.018450808,-0.020422054,0.0032846353,0.0024354933,0.062011283,0.06285522,0.006149009,0.006813735,0.008383565,0.008972421,29,8,231,1,6,543.5533,588.8634,635.7561,37.940117,152218.67,124.63815,119.7095,119.71722,162.759,162.759,41.822918,1,27.415274,0,0,0.7211655,18.824684,0,1,78,0,0,0,2,0,64,0
True,106492171,14999.992,3499.998,11749.384,0.045205235,0.74161255,2.8934164,0.008110046,-0.04642561,38.258793,-0.025820864,0.0017840759,-0.008945043,-2.3366778,0.010348355,-0.024935793,0.4012115,0.39740473,0.43964502,0.4500808,-0.0017034449,-0.0017864497,0.053360585,0.0518067,114.93001,114.9193,118.00156,117.9595,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027194342,-0.0006946105,0.018481338,-0.019845333,0.0032089013,0.0019167385,0.05647045,0.055477664,0.0074500665,0.0071795583,0.009194441,0.009954385,29,8,231,1,6,540.62366,588.81165,632.9389,38.25882,138936.89,112.946846,119.74514,119.75249,162.34625,162.34625,41.381413,1,31.589445,0,0,0.8278333,18.93135,0,1,74,0,0,0,2,0,64,0
True,106492265,14999.992,3499.998,11826.258,0.068874,-0.12981373,2.6116776,0.011062622,-0.046104252,38.538795,0.021556338,0.0017847836,-0.0102482345,-2.3364697,0.010683383,-0.02622824,0.36712232,0.35629645,0.4415016,0.45155147,-0.0016390855,-0.0015716446,0.051093757,0.05184124,115.74253,115.73555,118.802345,118.81214,0,0,0,0,0,0,0,0,0,0,0,0,-0.0035574504,-0.0014043198,0.018197916,-0.020100819,0.0039168936,0.0021076482,0.05423777,0.055601772,0.005027689,0.0042584017,0.009329639,0.01006148,29,8,231,1,6,537.66724,588.7648,630.09753,38.538822,124452.04,100.497505,119.77974,119.78644,161.94238,161.94238,40.41815,1,35.800655,0,0,0.93460494,19.038122,0,1,70,0,0,0,2,0,64,0
True,106492375,14999.992,3499.998,11886.679,0.070788026,0.10632117,2.1855202,0.00919342,-0.041740596,38.76182,-0.016853996,0.0017417915,0.009629715,-2.3363218,0.010945928,-0.026264887,0.389432,0.42002362,0.4353155,0.43398246,-0.0012561019,-0.0012040429,0.04406025,0.043932315,116.44423,116.43645,119.36785,119.35389,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036247936,-0.0017474613,0.017420698,-0.021087568,0.003836264,0.0021221074,0.047379177,0.04873124,0.006613016,0.008786857,0.008879162,0.008782089,29,8,231,1,6,534.69116,588.71405,627.2385,38.761845,112100.78,90.063,119.81508,119.82263,161.54695,161.54695,39.009598,1,40.03899,0,0,1.0413712,19.14489,0,1,67,0,0,0,2,0,64,0
True,106492484,14999.992,3499.998,11965.083,0.08855182,0.067074075,2.0201735,0.006713867,-0.026876926,38.978195,0.025852446,0.0021451898,-0.0013351785,-2.3360891,0.011237311,-0.025606774,0.3841338,0.38211292,0.4435456,0.46318433,-0.0013562079,-0.0014130754,0.047556765,0.04704692,117.065544,117.053925,120.09821,120.078415,0,0,0,0,0,0,0,0,0,0,0,0,-0.0035422014,-0.0004232632,0.018734196,-0.019702218,0.0037929527,0.0014751047,0.051113755,0.05100578,0.0062365234,0.006092921,0.009478487,0.010908596,29,8,231,1,6,531.70105,588.6652,624.3665,38.978203,121520.49,96.9984,119.85071,119.85753,161.16197,161.16197,37.444084,1,44.29696,0,0,1.1480384,19.251556,0,1,72,0,0,0,2,0,64,0
True,106492593,14999.992,3499.998,12030.58,0.082615495,-1.2693696,2.123565,0.010461807,-0.056319937,39.204323,0.028948674,0.0016127015,-0.0025998317,-2.3359857,0.014436321,-0.026045293,0.33487996,0.3392675,0.43032935,0.4308355,-0.0014312943,-0.0013702307,0.048101343,0.04836757,117.740425,117.73394,120.79706,120.79265,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031420253,-0.0017613415,0.017945856,-0.020699298,0.0034526694,0.002231559,0.051339973,0.052610673,0.002736546,0.003048323,0.008516066,0.008552924,29,8,231,1,6,528.6932,588.60736,621.47864,39.20436,116643.93,92.597046,119.88538,119.892075,160.78523,160.78523,36.081078,1,48.579346,0,0,1.2547058,19.358223,0,1,72,0,0,0,2,0,63,0
